Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Plcement_Offer_Count
75,87,65,80,2018,2
63,88,99,76,2021,2
72,91,62,75,2020,2
85,,68,85,2019,
94,89,75,97,2020,2
74,82,,94,,2
61,87,67,86,2019,2
63,89,68,,2019,2
78,78,63,83,2021,2
79,76,62,85,2025,
80,76,45,96,2018,2
76,83,72,98,2021,2
62,91,71,100,,2
67,81,66,91,2020,2
73,83,,75,2067,1
,75,75,78,2021,2
69,68,83,99,2020,2
66,33,69,,2020,2
50,85,75,99,2018,1
68,86,61,84,2021,2
76,75,63,100,2019,2
61,82,65,77,2034,2
,93,74,,2018,1
79,88,30,76,,2
71,86,69,96,2018,2
68,81,79,86,2018,2
40,92,74,76,2021,
61,80,,83,2000,2
69,81,66,78,2019,2
